spec_id,specno,ucmp_coll,class,genus,species,subspecies,other_id,type_status,period,epoch,loc_ID_num,loc_name,county_std,state_prov_std,country_std,cont_ocean,pic,access
V3828,3828,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3834,3834,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3844,3844,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3847,3847,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3855,3855,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3861,3861,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3866,3866,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3867,3867,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3868,3868,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3871,3871,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3874,3874,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3877,3877,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3878,3878,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3882,3882,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,0000 0000 0620 0371,yes
V3883,3883,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3884,3884,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3885,3885,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3887,3887,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3889,3889,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3919,3919,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3920,3920,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3929,3929,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3954,3954,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V3984,3984,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4010,4010,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4013,4013,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4015,4015,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4080,4080,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4100,4100,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4104,4104,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4106,4106,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4109,4109,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4117,4117,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4124,4124,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4170,4170,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4177,4177,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4213,4213,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4234,4234,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4292,4292,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4308,4308,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4309,4309,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4310,4310,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4313,4313,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4314,4314,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4318,4318,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4355,4355,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4356,4356,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4366,4366,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4368,4368,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4373,4373,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4381,4381,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4395,4395,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4429,4429,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4441,4441,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4457,4457,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4459,4459,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4465,4465,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4470,4470,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4472,4472,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4473,4473,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4476,4476,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4482,4482,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4485,4485,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4486,4486,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4491,4491,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4492,4492,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4495,4495,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V4660,4660,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,V65217,Samwell Cave General,Shasta County,California,United States,North America,,yes
V5006,5006,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5036,5036,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5037,5037,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5063,5063,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5064,5064,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5065,5065,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5102,5102,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5131,5131,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5173,5173,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5196,5196,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5199,5199,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5219,5219,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5264,5264,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5268,5268,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
V5270,5270,V,Mammalia,Ursus,,,,,Quaternary,Pleistocene,-1055,Potter Creek Cave,Shasta County,California,United States,North America,,yes
