Museum,Number,State,Lat,Long,County
MVZ,53394,British Columbia,52.4667,-125.3167,
MVZ,4677,British Columbia,57.9,-131.1667,
MVZ,47771,British Columbia,50.3,-118.8167,
MVZ,53397,British Columbia,51.95,-124.8333,
MVZ,53395,British Columbia,51.9,-124.6,
MVZ,8327,Alaska,56.5983333333,-132.8091666667,Petersburg Borough
UCMP,V27308,California,,,Shasta County
UCMP,V31037,California,,,Amador County
UCMP,V8851,California,,,Shasta County
UCMP,V35709,California,,,Shasta County
UCMP,V9502,California,,,Shasta County
UCMP,V35701,California,,,Shasta County
UCMP,V3882,California,,,Shasta County
UCMP,V35710,California,,,Shasta County
UCMP,V9511,California,,,Shasta County
UCMP,V35702,California,,,Shasta County
UCMP,V35716,California,,,Shasta County
UCMP,V27331,California,,,Shasta County
UCMP,V9003,California,,,Shasta County
UCMP,V9533,California,,,Shasta County
UCMP,V9651,California,,,Shasta County
UCMP,V9009,California,,,Shasta County
UCMP,V3002,California,,,Shasta County
UCMP,V3725,California,,,Shasta County
UCMP,V3012,,,,
UCMP,V10272,California,,,Shasta County
UCMP,V4292,California,,,Shasta County
UCMP,V3726,California,,,Shasta County
UCMP,V4459,California,,,Shasta County
UCMP,V42824,Alaska,,,Fourth Judicial Division
UCMP element,V8817,,,,
UCMP element,V22260,,,,
UCMP element,V85122,,,,
UCMP element,V8818,,,,
UCMP element,V138363,,,,
